=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=442, err2=3.10551e-15, errA = 3.50004e-11
i=443, err2=2.80142e-15, errA = 3.50016e-11
i=444, err2=3.86352e-15, errA = 3.50023e-11
i=445, err2=4.56739e-15, errA = 3.50011e-11
i=446, err2=2.6518e-15, errA = 3.49986e-11
i=447, err2=1.42057e-15, errA = 3.49975e-11
i=448, err2=1.04249e-15, errA = 3.4997e-11
i=449, err2=9.85455e-16, errA = 3.49966e-11
i=450, err2=1.11948e-15, errA = 3.49962e-11
i=451, err2=1.40596e-15, errA = 3.49958e-11
i=452, err2=1.74083e-15, errA = 3.49952e-11
i=453, err2=1.94382e-15, errA = 3.49945e-11
i=454, err2=1.89112e-15, errA = 3.4994e-11
i=455, err2=1.66229e-15, errA = 3.49938e-11
i=456, err2=1.45636e-15, errA = 3.49938e-11
i=457, err2=1.42549e-15, errA = 3.4994e-11
i=458, err2=1.67725e-15, errA = 3.49942e-11
i=459, err2=2.43204e-15, errA = 3.49946e-11
i=460, err2=3.96614e-15, errA = 3.49954e-11
i=461, err2=5.29947e-15, errA = 3.49959e-11
i=462, err2=4.30718e-15, errA = 3.49953e-11
i=463, err2=2.62706e-15, errA = 3.49944e-11
i=464, err2=1.70146e-15, errA = 3.49939e-11
i=465, err2=1.33352e-15, errA = 3.49936e-11
i=466, err2=1.24299e-15, errA = 3.49935e-11
i=467, err2=1.3161e-15, errA = 3.49934e-11
i=468, err2=1.48198e-15, errA = 3.49934e-11
i=469, err2=1.63486e-15, errA = 3.49936e-11
i=470, err2=1.65897e-15, errA = 3.49939e-11
i=471, err2=1.51637e-15, errA = 3.49944e-11
i=472, err2=1.2791e-15, errA = 3.49949e-11
i=473, err2=1.05723e-15, errA = 3.49953e-11
i=474, err2=9.25432e-16, errA = 3.49956e-11
i=475, err2=9.12734e-16, errA = 3.49958e-11
i=476, err2=1.06173e-15, errA = 3.49962e-11
i=477, err2=1.60782e-15, errA = 3.49967e-11
i=478, err2=2.7307e-15, errA = 3.4998e-11
i=479, err2=2.4663e-15, errA = 3.49987e-11
i=480, err2=1.70524e-15, errA = 3.49982e-11
i=481, err2=1.62382e-15, errA = 3.49975e-11
i=482, err2=2.06539e-15, errA = 3.49967e-11
i=483, err2=2.49476e-15, errA = 3.49957e-11
