=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=535, err2=4.8716e+08, errA = 1463.28
i=536, err2=4.87309e+08, errA = 1461.18
i=537, err2=1.92936e+09, errA = 1447.07
i=538, err2=5.08073e+08, errA = 1441.11
i=539, err2=3.92159e+09, errA = 1433.65
i=540, err2=3.01183e+08, errA = 1397.15
i=541, err2=3.33525e+08, errA = 1393.73
i=542, err2=1.61969e+08, errA = 1391.61
i=543, err2=5.27204e+07, errA = 1390.6
i=544, err2=6.31629e+08, errA = 1389.04
i=545, err2=3.94592e+08, errA = 1386.55
i=546, err2=6.90292e+08, errA = 1383.34
i=547, err2=4.54816e+08, errA = 1371.09
i=548, err2=2.34669e+08, errA = 1369.9
i=549, err2=2.97118e+08, errA = 1366.24
i=550, err2=6.53137e+08, errA = 1364.8
i=551, err2=1.03653e+09, errA = 1358.03
i=552, err2=9.72499e+08, errA = 1351.4
i=553, err2=1.83845e+09, errA = 1341.53
i=554, err2=1.06309e+09, errA = 1333.6
i=555, err2=2.29476e+09, errA = 1325.33
i=556, err2=9.63187e+08, errA = 1314.48
i=557, err2=9.62902e+08, errA = 1306.68
i=558, err2=1.64621e+09, errA = 1295.14
i=559, err2=4.40955e+08, errA = 1290.41
i=560, err2=2.4872e+08, errA = 1286.56
i=561, err2=3.68249e+08, errA = 1285.47
i=562, err2=3.65496e+08, errA = 1282.07
i=563, err2=7.12525e+07, errA = 1281.3
i=564, err2=6.08464e+07, errA = 1280.8
i=565, err2=1.58479e+08, errA = 1279.98
